agent,episode,accuracy,stderr,n_seeds
D,21,0.4713541666666667,0.01302083333333334,8
D,22,0.4453125,0.021542073946136053,8
D,23,0.48958333333333337,0.019287918745261486,8
D,24,0.46354166666666663,0.022872657959731243,8
D,25,0.4635416666666667,0.021474508466758645,8
D,26,0.48177083333333337,0.020243702173233322,8
D,27,0.45572916666666663,0.019462926130250496,8
D,28,0.4296875,0.016674802701648044,8
D,29,0.4140625,0.02534407936049271,8
D,30,0.4661458333333333,0.018015327400004832,8
D,31,0.47395833333333337,0.025439465769760052,8
D,32,0.44791666666666663,0.017161551480164877,8
D,33,0.48177083333333337,0.01073725423337933,8
D,34,0.453125,0.02633760419706526,8
D,35,0.5026041666666667,0.01735801063584554,8
D,36,0.4921875,0.021898902757085476,8
D,37,0.44010416666666663,0.01864949086234268,8
D,38,0.48177083333333337,0.01644075877528598,8
D,39,0.44270833333333337,0.01997875235431183,8
D,40,0.4739583333333333,0.016587423221434486,8
D,41,0.49739583333333337,0.019462926130250493,8
D,42,0.44270833333333337,0.02218460047005294,8
D,43,0.4869791666666667,0.02579871792795507,8
D,44,0.47916666666666663,0.017607380306844098,8
D,45,0.47135416666666663,0.019262787895832762,8
D,46,0.4713541666666667,0.02043423533461229,8
D,47,0.4140625,0.013315126613224164,8
D,48,0.44010416666666663,0.017358010635845543,8
D,49,0.4791666666666667,0.028391047661218617,8
D,50,0.4765625,0.025344079360492704,8
D,51,0.45572916666666663,0.02024370217323332,8
D,52,0.47916666666666663,0.02295721520913915,8
D,53,0.4713541666666667,0.02081006885557589,8
D,54,0.46875,0.02811673158882616,8
D,55,0.48697916666666663,0.018015327400004843,8
D,56,0.4765625,0.02564806719217736,8
D,57,0.4322916666666667,0.024822659698827798,8
D,58,0.47395833333333337,0.01997875235431183,8
D,59,0.44791666666666663,0.01888181181614511,8
D,60,0.4791666666666667,0.02156454872944857,8
D,61,0.45572916666666663,0.018229166666666664,8
D,62,0.4453125,0.02392839096858036,8
D,63,0.4453125,0.029181942215830925,8
D,64,0.46614583333333337,0.022936105121723734,8
D,65,0.5026041666666667,0.02711693771449691,8
D,66,0.4817708333333333,0.017798919217121553,8
D,67,0.4453125,0.021179234118289116,8
D,68,0.4401041666666667,0.02062300826121309,8
D,69,0.49479166666666663,0.016587423221434486,8
D,70,0.4583333333333333,0.016233202551541235,8
D,71,0.4765625,0.014959798558692781,8
D,72,0.4661458333333333,0.019262787895832762,8
D,73,0.45833333333333337,0.015248438639820826,8
D,74,0.45833333333333337,0.01760738030684409,8
D,75,0.453125,0.012293684257335052,8
D,76,0.4609375,0.01596237942925962,8
D,77,0.453125,0.022872657959731243,8
D,78,0.453125,0.021832441593930375,8
D,79,0.5208333333333334,0.01968564963589725,8
